TAZ,Poly,Area,Weight,GenEdge,PedEdge
9937184,343984185,220,0.046267087276550996,-20184574,-20184574
9937184,344009454,244,0.05131440588853838,20180833#0,20180833#0
9937184,343984176,279,0.05867507886435331,-20184574,-20184574
9937184,343830492,228,0.04794952681388013,-465159966,-465159966
9937184,343990066,319,0.06708727655099894,451799495#1,451799495#1
9937184,343983809,199,0.04185068349106204,451799494,451799494
9937184,344009469,233,0.049001051524710834,20180833#0,20180833#0
9937184,343984392,215,0.0452155625657203,451799495#0,451799495#0
9937184,344009417,382,0.08033648790746582,20184576,20184576
9937184,343989841,450,0.0946372239747634,451799495#0,451799495#0
9937184,344009331,208,0.04374342797055731,20184574,20184574
9937184,344009504,450,0.0946372239747634,20184576,20184576
9937184,343830721,248,0.05215562565720294,-465159966,-465159966
9937184,343984318,223,0.046898002103049424,-451799495#0,-451799495#0
9937184,344009510,238,0.05005257623554153,453745801,453745801
9937184,343990023,320,0.06729758149316509,451799495#0,451799495#0
9937184,344009464,299,0.06288117770767614,20180833#0,20180833#0
